"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J3026,J3004";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHolesSMALL";2;"IN2";;;
2;"J3007";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHolesSMALL";1;"OUT";;;
3;"J3006";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHolesSMALL";1;"IN";;;
4;"J3017";"PinHeader_1x07_P2.54mm_Vertical";1;"AttPCVB";;;
5;"J3020,J3002";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHolesSMALL";2;"MAX";;;
6;"J3022";"PinHeader_1x02_P2.54mm_Vertical";1;"INright";;;
7;"J3009";"PinHeader_1x02_P2.54mm_Vertical";1;"INleft";;;
8;"D3004";"LED_D3.0mm";1;"RIGHT";;;
9;"J3025,J3003";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHolesSMALL";2;"MIN";;;
10;"J3016";"PinHeader_1x02_P2.54mm_Vertical";1;"GND2PCB";;;
11;"J3008";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHolesSMALL";1;"INV";;;
12;"J3001,J3019";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHolesSMALL";2;"IN1";;;
13;"J3024";"PinHeader_1x02_P2.54mm_Vertical";1;"OUTright";;;
14;"RV3001";"RD901F-ALPHA-POT";1;"ATT";;;
15;"J3013";"PinHeader_1x02_P2.54mm_Vertical";1;"GND1PCB";;;
16;"J3011";"PinHeader_1x02_P2.54mm_Vertical";1;"OUTleft";;;
17;"R3015,R3006,R3036,R3048,R3033,R3029,R3005,R3052,R3020,R3024,R3026,R3042,R3050,R3011,R3034,R3003,R3001,R3044,R3010,R3013,R3019,R3021,R3028,R3038,R3043";"R_0402_1005Metric";25;"50k";;;
18;"C3025,C3008,C3023,C3015,C3009,C3024,C3010,C3007,C3013,C3022,C3011";"C_0402_1005Metric";11;"100n";;;
19;"R3035,R3047,R3039,R3025,R3037,R3004,R3012,R3027,R3049,R3014,R3009,R3016,R3008,R3002,R3032,R3018,R3031,R3041";"R_0402_1005Metric";18;"100k";;;
20;"R3022,R3051,R3017,R3023,R3045,R3053,R3054,R3030,R3007,R3040";"R_0603_1608Metric";10;"1k";;;
21;"J3023";"PinSocket_1x02_P2.54mm_Vertical";1;"OUTright";;;
22;"C3014,C3012";"C_0805_2012Metric";2;"10uF";;;
23;"J3012";"PinSocket_1x02_P2.54mm_Vertical";1;"OUTleft";;;
24;"C3021,C3019,C3005,C3002,C3018,C3017,C3004,C3003,C3027,C3026,C3028,C3001,C3020,C3016,C3006";"C_0402_1005Metric";15;"22pF";;;
25;"U3003,U3001,U3002,U3004";"TSSOP-14_4.4x5mm_P0.65mm";4;"TL074";;;
26;"D3001";"SOT-363_SC-70-6";1;"BAT54BRW";;;
27;"J3018";"PinSocket_1x07_P2.54mm_Vertical";1;"AttPanel";;;
28;"R3046";"R_0603_1608Metric";1;"4k7";;;
29;"D3002,D3003";"D_SOD-123";2;"5819W";;;
30;"J3027";"PinHeader_1x03_P2.54mm_Vertical";1;"LED OUT MAX right";;;
31;"J3015";"PinSocket_1x02_P2.54mm_Vertical";1;"GND2PANEL";;;
32;"J3010";"PinSocket_1x02_P2.54mm_Vertical";1;"INleft";;;
33;"U3005";"SOT-23";1;"LM4040DBZ-5";;;
34;"J3014";"PinSocket_1x02_P2.54mm_Vertical";1;"GND1PANEL";;;
35;"J3005";"eurorac_power-v2";1;"PWR";;;
36;"J3021";"PinSocket_1x02_P2.54mm_Vertical";1;"INright";;;
